Time,wsteth,wbtc,sfrxeth,weth
17818228,2069077334074776062374,2.8832271573008853e+22,1914812664979768481036,1.8257042740281997e+21
17823589,2144965397062509867852,2.999841742345612e+22,1979831261291139889121,1.9030600876946985e+21
17828950,2086097347393983137504,2.9161013237224166e+22,1927372428377422977830,1.839299427151893e+21
17834312,2081783033094003968693,2.914847008850455e+22,1933495409099045607709,1.8308054722317034e+21
17839673,2077175059232543376178,2.9145355412931183e+22,1917546241455927888137,1.8441626776099511e+21
17845034,2069526583758371910038,2.907013716686615e+22,1911674199678693778552,1.8203677605026036e+21
17850395,2083596783611458543109,2.899607116546217e+22,1929688459255088531928,1.832722660032949e+21
17855756,2072537486174792228853,2.9060982973672647e+22,1922518548410115251931,1.828395182187361e+21
17861117,2094919575662828525699,2.930586392051188e+22,1927168148721300935530,1.8487218838030839e+21
17866479,2081989154301811942387,2.931936734656107e+22,1931237427672345264335,1.8356207163119782e+21
17871840,2117889313229449149035,2.996550763407654e+22,1952737907622293214645,1.8736705170477935e+21
17877201,2123739877870819023063,2.9921731908609e+22,1957678926410324949879,1.873894196673807e+21
17882562,2103843866933043243268,2.9534278076533544e+22,1941748347795840931799,1.859148354854758e+21
17887923,2094608226656013534583,2.9348584735658375e+22,1943970322978840420695,1.8466721698296918e+21
17893284,2080425715409156945561,2.9234158294516263e+22,1921543278081019529873,1.8283085606739016e+21
17898646,2102097410919214614435,2.9374599069631265e+22,1942505462473297928096,1.8474652579082763e+21
17904007,2097214484225735596520,2.9376081428960042e+22,1939763680467301723764,1.841389490166014e+21
17909368,2078089514652905733155,2.91157436484692e+22,1926747083859759027400,1.823506007219553e+21
17914729,2103046941079582438715,2.954441743178746e+22,1953499383308137586266,1.8625633776716604e+21
17920090,2077291726802235920344,2.9344741061019925e+22,1933556071392567687940,1.8353333072555614e+21
17925451,2063882741517405799927,2.909966265604103e+22,1911353448003683680002,1.8175149775397318e+21
17930813,2046967108712300366262,2.8545366062756423e+22,1908472168826426331114,1.7935875887017956e+21
17936174,1988656411769139599328,2.8130930915189044e+22,1829492178731100253143,1.750067671045956e+21
17941535,1914787192184759279102,2.6567257891560602e+22,1771761160543515122150,1.6860000507045683e+21
17946896,1871090681527151136849,2.5785316919605224e+22,1739220673891419693517,1.653278404242121e+21
17952257,1890932431945708066385,2.604783585092523e+22,1746978588155775428344,1.6609538132230225e+21
17957618,1912498559595426119548,2.6102445950746734e+22,1771220634181519684314,1.6847138568327342e+21
17437633,2038159300569259371810,,1916258653522503599140,
17443041,2104172349452993615462,,1944547260810564957644,
17448450,1946502056795443083739,,1801440425659821163745,
17453858,1984823998259916290330,,1824163950042228317838,
17459266,2011563337409304119208,,1859530854733971501743,
17464675,1950352375994060465867,,1811018996874671897868,
17470083,1993453359486419787537,,1841881591878388669575,
17475491,1981207304628194655875,,1833009002479009044828,
17480900,1845978755386471038816,,1707384218559018299930,
17486308,1866240556040227176987,,1719365747707750483172,
17491716,1896155875006318162731,,1742377666188322921092,
17497125,1943773648183932523338,,1794221292767281737535,
17502533,1954675709207002103617,,1792666910749432482787,
17507941,1979957710874375118780,,1825543154459703500486,
17513350,1944090890246279995483,,1797052718748624754890,
17518758,1939571238206214272291,,1791717695517734976015,
17524167,2023124593599065282187,,1873864717357298013344,
17529575,2153855457299728936500,,1938125298975129013425,
17534983,2132804271676002981435,,1973650116953687052358,
17540392,2129591630325835176084,,1976431907416749844642,
17545800,2121455972507034073003,,1974484392369599878952,
17551208,2134350732244311866719,,1985728429756098534412,
17556617,2177869730330614258837,,2035520041584515918824,
17562025,2155204680884813805004,2.9869948818665232e+22,1992754870978699815063,
17567433,2113242265703310933056,3.057632923505883e+22,1954057028843947022458,1.8634045230485778e+21
