User,Time,Loss,Collateral,Stablecoin,Debt,N,Health,NewDebt,N1,N2
0x7a16fF8270133F063aAb6C9977183D9e72835428,17432225,0.0,624438230145663128260,520413797580026831323268,1452841729139258390127828,10,0.08298519976567371,1452841729139258390127828,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17437628,0.07856289568033831,700210007613271005616,373836979968573865144952,1452997442425625525135558,10,0.08219957080887033,1452997442425625525135558,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17443031,0.15350367449234043,660082942733076639642,450251307128106104698822,1453131498729949810668035,10,0.08145016302075031,1453131498729949810668035,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17448435,1.0406918099621993,176125501862463470721,1341097918039859757769005,1453247363686701023370851,10,0.07257828166605172,1453247363686701023370851,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17453838,1.3277049788694346,197036454569192242912,1298305316431101521351176,1453291413836558276676830,10,0.06970814997697937,1453291413836558276676830,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17459242,1.5654507699097777,258741406507214447328,1182068503150596323701405,1453345450276438423423493,10,0.06733069206657594,1453345450276438423423493,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17464645,1.769796251969187,172181275647570194762,1336872802676040079264342,1453429736332655143505568,10,0.06528723724598184,1453429736332655143505568,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17470049,2.220300206579072,179223685045155948683,1317610375802995222238198,1453622137413649189220316,10,0.060782197699882995,1453622137413649189220316,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17475452,2.2947558244085613,138960344787163900943,1389790088143295679499961,1453866278794717217977117,10,0.0600376415215881,1453866278794717217977117,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17480856,2.768040980983427,0,1632524048702405985736140,1454151085436158924638734,10,0.05530478995583944,1454151085436158924638734,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17486259,2.7715688710460276,0,1632524048702405985736141,1454199699416853762811184,10,0.05526951105521344,1454199699416853762811184,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17491662,2.7734551407109764,0,1632524048702405985736518,1454225693362311691061449,10,0.05525064835856395,1454225693362311691061449,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17497066,2.802184820647165,16020094035740558925,1603514853519506027786160,1454270022775999000565283,10,0.05496335155920207,1454270022775999000565283,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17502469,3.2439396246061554,73905991563922175278,1492921665933026373744270,1454388564319117409529817,10,0.05054580351961216,1454388564319117409529817,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17507873,3.2809546522329236,100637132544353711749,1444443793557536675216966,1454536450178940075840754,10,0.05017565324334448,1454536450178940075840754,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17513276,3.3424997468490454,57624433879250712169,1520967280268552652780481,1454704056653885733521911,10,0.04956020229718326,1454704056653885733521911,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17518680,3.598309322802271,123901245026590303708,1397807777237028100106881,1454871383318230903089749,10,0.047002106537651,1454871383318230903089749,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17524083,4.01385708465043,325053077088742649836,1022072858096207941128427,1455039072462359056996295,10,0.04284662891916942,1455039072462359056996295,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17529487,4.7866821103568755,792892473559417057827,117192165069350774923147,1455293945533280976316394,10,0.03511837866210496,1455293945533280976316394,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17534890,4.884601916246018,851472014990320700769,0,1455584502035758326520102,10,0.03413918060321354,1455584502035758326520102,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17540293,5.00063963985328,788265241834125263297,122809841311304918808320,1455874879657103438874320,10,0.03297880336714091,1455874879657103438874320,-5,4
0x7a16fF8270133F063aAb6C9977183D9e72835428,17545697,5.115397706609926,830851912686287478101,37157604180593662455496,1456166564864067468468677,10,0.03183122269957445,1456166564864067468468677,-5,4
