User,Time,Loss,Collateral,Stablecoin,Debt,N,Health,NewDebt,N1,N2
0x7a16fF8270133F063aAb6C9977183D9e72835428,17432225,0.0,305268629225803740014,0,545952770376258169742004,10,0.03307223232909383,545952770376258169742004,0,9
0x7a16fF8270133F063aAb6C9977183D9e72835428,17437586,0.0,286110691007900212025,39523669787472723683658,551514744673438156352356,10,0.031995470892974234,551514744673438156352356,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17442947,0.0,122354383706290339824,364408111960165283177098,551555693484844708666547,10,0.022576237118500563,551555693484844708666547,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17448308,0.9419233774473672,128155308306273836029,351442050116584135778932,551570956129028481869933,10,0.01996318726697249,551570956129028481869933,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17453669,1.2032283626001745,140841381627288396337,325992824390277387180221,551589608314796518820593,10,0.018897912790026193,551589608314796518820593,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17459030,1.3097558102948041,128099265290856616743,349726486028756908736407,549616272069254198645692,10,0.02048592158881255,549616272069254198645692,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17464391,1.3097558102948041,123640631767487190773,357997024366837742926212,549682903731158041882583,10,0.019526883980917533,549682903731158041882583,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17469753,1.405659571084306,112507660877410696934,379437773258574210848797,549766033734876891454767,10,0.01869365107916544,549766033734876891454767,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17475114,1.4889828612595153,74129707168873898072,451653310573315743277041,549866431538964174855295,10,0.014215177726181472,549866431538964174855295,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17480475,1.9368301965579122,0,588406249385264802264437,540637412477123213860686,10,0.02305512281866569,540637412477123213860686,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17485836,1.9368301965579122,0,588406249385264802264437,540645924794057602025675,10,0.02303901510556289,540645924794057602025675,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17491197,1.9384409678681922,72855291403859530225,447518648307399626993486,540660255124296058043228,10,0.020330028684144946,540660255124296058043228,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17496558,2.209339610009987,93624359182224376742,405124514683649241307645,535596431900195118376982,10,0.026449523324563892,535596431900195118376982,-1,8
0x7a16fF8270133F063aAb6C9977183D9e72835428,17501920,2.209339610009987,93624359182224376742,405124514683649241307645,535646708791597128313610,10,0.026242402493275488,535646708791597128313610,-1,8
