User,Time,Loss,Collateral,Stablecoin,Debt,N,Health,NewDebt,N1,N2
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17610126,0.0,11654173110,0,2505328362776249342345167,10,0.04039429552498445,2505328362776249342345167,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17615517,0.0,11654173110,0,2505415268377796240370571,10,0.04039429552498445,2505415268377796240370571,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17620908,0.0,11654173110,0,2505548971568793096160709,10,0.04039429552498445,2505548971568793096160709,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17626299,0.0,11654173110,0,2505682616821041474612155,10,0.04039429552498445,2505682616821041474612155,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17631690,0.0,11654173110,0,2505812012904320940711524,10,0.04039429552498445,2505812012904320940711524,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17637081,0.0,11654173110,0,2505937859330716354222673,10,0.04039429552498445,2505937859330716354222673,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17642472,0.0,11654173110,0,2506044970355647178347373,10,0.04039429552498445,2506044970355647178347373,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17647862,0.0,11654173110,0,2506147566501200490402539,10,0.04039429552498445,2506147566501200490402539,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17653253,0.0,11654173110,0,2506267701658464447581291,10,0.04039429552498445,2506267701658464447581291,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17658644,0.0,11654173110,0,2506415771159607679602748,10,0.04039429552498445,2506415771159607679602748,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17664035,0.0,11654173110,0,2506462702128517492235766,10,0.04039429552498445,2506462702128517492235766,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17669426,0.0,11654173110,0,2506477158171601510757146,10,0.04039429552498445,2506477158171601510757146,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17674817,0.0,11654173110,0,2506500739151687547644862,10,0.04039429552498445,2506500739151687547644862,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17680208,0.0,11654173110,0,2506539851894828122991591,10,0.04039429552498445,2506539851894828122991591,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17685599,0.0,11654173110,0,2506591453720017030697847,10,0.04039429552498445,2506591453720017030697847,20,29
